1513725316960 Connected /dev/ttyUSB0  
listening on port 3000
light level: 0.79
light level: 0.78
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.78
light level: 0.79
light level: 0.78
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.78
light level: 0.79
light level: 0.78
light level: 0.78
light level: 0.79
light level: 0.78
light level: 0.79
light level: 0.79
light level: 0.78
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
light level: 0.79
